0_names,0_scores,0_pvals_adj,0_logfoldchanges,1_names,1_scores,1_pvals_adj,1_logfoldchanges,2_names,2_scores,2_pvals_adj,2_logfoldchanges,3_names,3_scores,3_pvals_adj,3_logfoldchanges,4_names,4_scores,4_pvals_adj,4_logfoldchanges,5_names,5_scores,5_pvals_adj,5_logfoldchanges,6_names,6_scores,6_pvals_adj,6_logfoldchanges,7_names,7_scores,7_pvals_adj,7_logfoldchanges
QTRT1,0.76523733,0.9999003804629129,,PKN1,1.0439558,0.9996937181110113,,DHRS1,0.363193,0.9996617578253437,,ZNF595,0.6057464,0.9998338017940898,,ABHD3,1.4111522,0.9999189069433965,,LDHA,0.72059155,1.0,,NUCKS1,0.48001492,1.0,,FBXO7,1.2349406,0.9992640708997754,
PAPD4,0.76516134,0.9999003804629129,,RAB4A,1.0432551,0.9996937181110113,,PDRG1,0.3627493,0.9996617578253437,,NDUFB3,0.6049917,0.9998338017940898,,BABAM1,1.4101866,0.9999189069433965,,TNPO1,0.7202815,1.0,,CDCA4,0.47952592,1.0,,UBE2M,1.2344913,0.9992640708997754,
PPIB,0.76506,0.9999003804629129,,SELO,1.0398152,0.9996937181110113,,ARID4A,0.36260143,0.9996617578253437,,XPO7,0.6048785,0.9998338017940898,,CRYL1,1.4090178,0.9999189069433965,,GATAD1,0.7195063,1.0,,PSTK,0.47903693,1.0,,TSNAX,1.2338172,0.9992640708997754,
BRD9,0.7642494,0.9999003804629129,,VPS25,1.0392419,0.9996937181110113,,NPRL3,0.36175102,0.9996617578253437,,IL15RA,0.60472757,0.9998338017940898,,TCP1,1.4083573,0.9999189069433965,,ATP5G3,0.7192996,1.0,,HNRNPF,0.47903693,1.0,,ARPC1A,1.2338172,0.9992640708997754,
IMPACT,0.76364136,0.9999003804629129,,LENG8,1.0386686,0.9996937181110113,,PDCD2L,0.36167708,0.9996617578253437,,SAMM50,0.60453886,0.9998338017940898,,C8orf76,1.4070867,0.9999189069433965,,PIGO,0.71852446,1.0,,RP11-326I11.3,0.47891468,1.0,,EMB,1.2332555,0.9992640708997754,
DHX9,0.7633627,0.9999003804629129,,TXNRD2,1.0374583,0.9996937181110113,,TSN,0.3616401,0.9996617578253437,,APOBEC3C,0.6037842,0.9998338017940898,,GFI1B,1.4056131,0.9999189069433965,,SMARCB1,0.7180077,1.0,,RIOK1,0.47891468,1.0,,EIF5AL1,1.2331432,0.9992640708997754,
RPRD2,0.7621467,0.9999003804629129,,DRAM1,1.0374583,0.9996937181110113,,DYM,0.36101156,0.9996617578253437,,ATG5,0.6037842,0.9998338017940898,,COPA,1.4052066,0.9999189069433965,,STK39,0.7180077,1.0,,CTSA,0.47867018,1.0,,FAM98C,1.2326939,0.9992640708997754,
DLG1,0.76179206,0.9999003804629129,,RP11-274B18.2,1.0373627,0.9996937181110113,,CENPJ,0.35919985,0.9996617578253437,,SNORA76,0.6028786,0.9998338017940898,,UBE2I,1.4015985,0.9999189069433965,,SMIM12,0.717801,1.0,,ZZEF1,0.47781444,1.0,,C11orf83,1.2317952,0.9992640708997754,
TMEM129,0.75860006,0.9999003804629129,,SIGLEC14,1.0329037,0.9996937181110113,,AC142528.1,0.359015,0.9996617578253437,,TFB1M,0.60216165,0.9998338017940898,,CD1D,1.400328,0.9999189069433965,,TSNAX,0.71738756,1.0,,SMIM20,0.4773254,1.0,,RNFT1,1.2310088,0.9992640708997754,
TSPAN18,0.7582454,0.9999003804629129,,TNFRSF10B,1.0328082,0.9996937181110113,,PHKB,0.35868222,0.9996617578253437,,RAB3GAP2,0.6014824,0.9998338017940898,,RAB11FIP1,1.397279,0.9999189069433965,,CBR1,0.71738756,1.0,,ZNF667-AS1,0.47726429,1.0,,GSTZ1,1.229099,0.9992640708997754,
RRP1B,0.7582454,0.9999003804629129,,CSF2RB,1.0322986,0.9996937181110113,,VCPIP1,0.35860828,0.9996617578253437,,RP11-383H13.1,0.60144466,0.9998338017940898,,FCGR3B,1.3969741,0.9999189069433965,,CREM,0.71671575,1.0,,DHX32,0.47726429,1.0,,APOPT1,1.2288743,0.9992640708997754,
GPR146,0.7582454,0.9999003804629129,,LARP1,1.0322349,0.9996937181110113,,ADRBK2,0.35816458,0.9996617578253437,,ORMDL1,0.60129374,0.9998338017940898,,NT5C,1.3957545,0.9999189069433965,,RASSF7,0.7164057,1.0,,ANGEL1,0.47689754,1.0,,FRG1,1.2288743,0.9992640708997754,
FBXO34,0.7578401,0.9999003804629129,,SLC25A11,1.0309927,0.9996937181110113,,FAM114A2,0.35764694,0.9996617578253437,,TMEM161A,0.601256,0.9998338017940898,,SAMSN1,1.3946365,0.9999189069433965,,TMEM140,0.71594054,1.0,,LINC00685,0.4768364,1.0,,TIMM50,1.228425,0.9992640708997754,
C12orf43,0.7571054,0.9999003804629129,,PRKCDBP,1.0289224,0.9996937181110113,,ARCN1,0.35764694,0.9996617578253437,,PRDX6,0.6010673,0.9998338017940898,,FAM118B,1.3946365,0.9999189069433965,,PLEKHA2,0.71594054,1.0,,BCL9L,0.47573617,1.0,,STK10,1.2279756,0.9992640708997754,
CMTM7,0.75512946,0.9999003804629129,,SHC1,1.0289224,0.9996937181110113,,POM121,0.35760996,0.9996617578253437,,TMBIM1,0.60001075,0.9998338017940898,,IMPA2,1.3937218,0.9999189069433965,,DCAF11,0.7157855,1.0,,LUC7L,0.47524717,1.0,,METAP2,1.2279756,0.9992640708997754,
CCDC91,0.7542681,0.9999003804629129,,TPM4,1.0248774,0.9996937181110113,,CHEK2,0.35749906,0.9996617578253437,,SNTB2,0.599973,0.9998338017940898,,PSMD11,1.3930612,0.9999189069433965,,NDUFA1,0.71542376,1.0,,FAM175A,0.47512493,1.0,,SRD5A3,1.2276386,0.9992640708997754,
USP20,0.7540401,0.9999003804629129,,SNX2,1.023699,0.9996937181110113,,KB-431C1.4,0.35705537,0.9996617578253437,,RP4-728D4.2,0.5996712,0.9998338017940898,,THOC2,1.3915875,0.9999189069433965,,MCM6,0.714907,1.0,,GMPPA,0.47512493,1.0,,ZC3H15,1.2273016,0.9992640708997754,
SLC25A36,0.75373614,0.9999003804629129,,NISCH,1.0217242,0.9996937181110113,,YIPF6,0.35690746,0.9996617578253437,,ABHD15,0.599407,0.9998338017940898,,IKBIP,1.3908759,0.9999189069433965,,C3AR1,0.71480364,1.0,,EML2,0.47469705,1.0,,CSRNP1,1.2257289,0.9992640708997754,
CASP8,0.75338143,0.9999003804629129,,MRPL16,1.0203866,0.9996937181110113,,HMGA1P4,0.35683352,0.9996617578253437,,RP11-545E17.3,0.5984259,0.9998338017940898,,PSMD7,1.3904694,0.9999189069433965,,SRSF4,0.71413183,1.0,,TGFBR2,0.47451368,1.0,,MDH1,1.2255042,0.9992640708997754,
CSE1L,0.7531788,0.9999003804629129,,SNAPIN,1.0188577,0.9996937181110113,,RP11-430B1.2,0.35683352,0.9996617578253437,,SLC25A20,0.59808636,0.9998338017940898,,CD58,1.3891482,0.9999189069433965,,ATM,0.71387345,1.0,,SPAG7,0.47426918,1.0,,DNAJB6,1.2253919,0.9992640708997754,
DNAJB14,0.7522415,0.9999003804629129,,KIAA0513,1.0178386,0.9996937181110113,,ASB7,0.35664865,0.9996617578253437,,PPP1R37,0.5979354,0.9998338017940898,,CDV3,1.3891482,0.9999189069433965,,TUBB,0.71382177,1.0,,RAB28,0.4739024,1.0,,CCDC6,1.2252795,0.9992640708997754,
LINC00324,0.7519628,0.9999003804629129,,RP11-395A13.2,1.0176475,0.9996937181110113,,PGGT1B,0.35661167,0.9996617578253437,,FBXO44,0.59744483,0.9998338017940898,,BFAR,1.3890465,0.9999189069433965,,RP11-473M20.7,0.71361506,1.0,,PSMD5-AS1,0.47353566,1.0,,COPS5,1.2248302,0.9992640708997754,
TAB2,0.7515068,0.9999003804629129,,TIMM17A,1.0169468,0.9996937181110113,,MARCKS,0.35653773,0.9996617578253437,,RGL4,0.59702975,0.9998338017940898,,VPS25,1.3871155,0.9999189069433965,,MRPS22,0.7122198,1.0,,DIEXF,0.4731689,1.0,,E2F4,1.2246054,0.9992640708997754,
LPIN2,0.75097483,0.9999003804629129,,CHIC2,1.0158638,0.9996937181110113,,PABPC1L,0.35650074,0.9996617578253437,,TRIM27,0.59691656,0.9998338017940898,,FLYWCH2,1.3830501,0.9999189069433965,,RP5-1028K7.2,0.71159965,1.0,,SYTL1,0.4729244,1.0,,NCOA3,1.2240437,0.9992640708997754,
FYTTD1,0.74991083,0.9999003804629129,,C17orf62,1.015609,0.9996937181110113,,PGBD2,0.356168,0.9996617578253437,,WIBG,0.59691656,0.9998338017940898,,NFAM1,1.3823386,0.9999189069433965,,C18orf32,0.7114963,1.0,,PSMD3,0.4729244,1.0,,YBX3,1.2240437,0.9992640708997754,
C14orf119,0.7492775,0.9999003804629129,,RIN1,1.0134114,0.9996937181110113,,TSSC1,0.356168,0.9996617578253437,,WDR82,0.59593546,0.9998338017940898,,HIST2H2AC,1.382237,0.9999189069433965,,RP1-8B1.4,0.7103594,1.0,,CYP3A5,0.47157967,1.0,,FLAD1,1.2234821,0.9992640708997754,
OARD1,0.7481122,0.9999003804629129,,FADS1,1.0120736,0.9996937181110113,,PGAP2,0.35594615,0.9996617578253437,,ZBTB25,0.5956336,0.9998338017940898,,LMBRD1,1.380306,0.9999189069433965,,RAD23B,0.7096359,1.0,,NPRL2,0.47072393,1.0,,NONO,1.2232574,0.9992640708997754,
HIBCH,0.74788415,0.9999003804629129,,TNK2,1.0090479,0.9996937181110113,,AFF1,0.35594615,0.9996617578253437,,WDR43,0.59521854,0.9998338017940898,,RARA,1.3761897,0.9999189069433965,,TBP,0.70860237,1.0,,DUSP11,0.47047943,1.0,,SCFD1,1.2216847,0.9992640708997754,
TDG,0.7468962,0.9999003804629129,,CPQ,1.0084109,0.9996937181110113,,FAM214A,0.35590917,0.9996617578253437,,PRAF2,0.5949544,0.9998338017940898,,SPPL2A,1.3761389,0.9999189069433965,,MAGOH,0.7071554,1.0,,MACROD1,0.47011265,1.0,,SLC33A1,1.2212353,0.9992640708997754,
GBP3,0.7466935,0.9999003804629129,,CTA-384D8.34,1.0078057,0.9996937181110113,,MAPRE2,0.3558722,0.9996617578253437,,WDR76,0.59480345,0.9998338017940898,,SEC11C,1.3753258,0.9999189069433965,,SF3B5,0.70684534,1.0,,ZNF141,0.4699904,1.0,,HDLBP,1.2212353,0.9992640708997754,
GGPS1,0.7462375,0.9999003804629129,,TMEM127,1.0076783,0.9996937181110113,,TP53I11,0.35542852,0.9996617578253437,,TMEM230,0.5937469,0.9998338017940898,,SAP18,1.3748176,0.9999189069433965,,GBP2,0.7051916,1.0,,AC002310.12,0.46992928,1.0,,SART1,1.220786,0.9992640708997754,
ZNF224,0.7461362,0.9999003804629129,,MRPL37,1.0060221,0.9996937181110113,,MAPK13,0.3550588,0.9996617578253437,,H2AFV,0.5937092,0.9998338017940898,,ZFPL1,1.373598,0.9999189069433965,,SENCR,0.703693,1.0,,NEDD1,0.4690124,1.0,,SMS,1.2203366,0.9992640708997754,
PDS5A,0.7455789,0.9999003804629129,,ABHD8,1.0059584,0.9996937181110113,,TJAP1,0.35454115,0.9996617578253437,,EIF2S1,0.59223753,0.9998338017940898,,NDUFB4,1.3732932,0.9999189069433965,,PDZD4,0.7015742,1.0,,FBXO22,0.4687679,1.0,,PKN1,1.2196625,0.9992640708997754,
ZNF626,0.7440335,0.9999003804629129,,F8A1,1.0043021,0.9996937181110113,,DDX17,0.35417143,0.9996617578253437,,EIF4A3,0.5921621,0.9998338017940898,,TMEM50A,1.3730899,0.9999189069433965,,AC092580.4,0.70033395,1.0,,IER3IP1-1,0.4687679,1.0,,ATP5EP2,1.2180898,0.9992640708997754,
IPCEF1,0.74390686,0.9999003804629129,,SLC31A1,1.0018498,0.9996937181110113,,PPP2R2A,0.351953,0.9996617578253437,,RELA,0.5920866,0.9998338017940898,,CYB5R3,1.3726833,0.9999189069433965,,C11orf21,0.7002306,1.0,,TRMT13,0.4685234,1.0,,SLC25A3,1.2169664,0.9992640708997754,
CYB5B,0.7436282,0.9999003804629129,,TIMM50,1.0014038,0.9996937181110113,,ZNF296,0.35187903,0.9996617578253437,,KPNA5,0.5918602,0.9998338017940898,,SYF2,1.3716669,0.9999189069433965,,GIPC1,0.69919705,1.0,,HAGHL,0.46809554,1.0,,RP2,1.2167418,0.9992640708997754,
PATZ1,0.74357754,0.9999003804629129,,TMEM69,1.0006394,0.9996937181110113,,EHD1,0.35143536,0.9996617578253437,,NCOA1,0.5915206,0.9998338017940898,,MRPL10,1.370549,0.9999189069433965,,EFCAB4B,0.6990937,1.0,,CHD6,0.46785104,1.0,,CNPPD1,1.2162924,0.9992640708997754,
RBM38,0.74334955,0.9999003804629129,,HDGF,1.000512,0.9996937181110113,,KCNN4,0.35136142,0.9996617578253437,,PRPF38B,0.59129417,0.9998338017940898,,NINJ2,1.3691261,0.9999189069433965,,CHCHD3,0.6985769,1.0,,TMED7,0.46785104,1.0,,RNF166,1.214495,0.9992640708997754,
PLGRKT,0.7431722,0.9999003804629129,,YKT6,0.99751806,0.9996937181110113,,DNAJC15,0.35032615,0.9996617578253437,,RALGDS,0.5911055,0.9998338017940898,,NABP2,1.3685163,0.9999189069433965,,GPBP1,0.69650984,1.0,,EXOSC6,0.46742317,1.0,,SHKBP1,1.2140456,0.9992640708997754,
SRM,0.7415256,0.9999003804629129,,ADAR,0.9971996,0.9996937181110113,,RAF1,0.35028917,0.9996617578253437,,GCFC2,0.5905018,0.9998338017940898,,PTGS1,1.3683639,0.9999189069433965,,PPP1R3E,0.69650984,1.0,,CXorf56,0.46717867,1.0,,CIDEB,1.2133716,0.9992640708997754,
RASAL3,0.7414749,0.9999003804629129,,BRD4,0.99688107,0.9996937181110113,,SH2D3A,0.35006732,0.9996617578253437,,GLRX5,0.5899735,0.9998338017940898,,PTAFR,1.367195,0.9999189069433965,,NSUN3,0.6964065,1.0,,C2orf68,0.46717867,1.0,,PHTF1,1.2126975,0.9992640708997754,
SH3KBP1,0.74020827,0.9999003804629129,,NDUFC1,0.99643517,0.9996937181110113,,CDKAL1,0.3499564,0.9996617578253437,,NUDT16L1,0.58986026,0.9998338017940898,,ETS2,1.3668901,0.9999189069433965,,PTPRE,0.6946494,1.0,,MAGEH1,0.46656743,1.0,,ITGAX,1.2115742,0.9992640708997754,
VPS26B,0.7399802,0.9999003804629129,,SIGLEC10,0.99621224,0.9996937181110113,,INTS12,0.34988245,0.9996617578253437,,ISYNA1,0.5897471,0.9998338017940898,,ARFGAP3,1.3653656,0.9999189069433965,,FRG1B,0.6939259,1.0,,TSC2,0.46571165,1.0,,ACADS,1.2100015,0.9992640708997754,
TSPAN5,0.73815626,0.9999003804629129,,LSM6,0.99554336,0.9996937181110113,,NME4,0.3496606,0.9996617578253437,,METTL5,0.5895207,0.9998338017940898,,PDIA6,1.3649082,0.9999189069433965,,NAE1,0.6935125,1.0,,ZFYVE20,0.46552828,1.0,,UBE2D1,1.2096645,0.9992640708997754,
TAF9B,0.7381309,0.9999003804629129,,LINC01003,0.99509746,0.9996937181110113,,EIF2AK1,0.34858838,0.9996617578253437,,CDKN2AIP,0.58914334,0.9998338017940898,,SPG11,1.3644,0.9999189069433965,,BCL7B,0.6930991,1.0,,C3orf33,0.46528378,1.0,,COX20,1.209552,0.9992640708997754,
ZNF277,0.7377256,0.9999003804629129,,PQLC1,0.99446046,0.9996937181110113,,STEAP1B,0.3482926,0.9996617578253437,,EID1,0.5886905,0.9998338017940898,,APOA1BP,1.3642476,0.9999189069433965,,AL590452.1,0.69253063,1.0,,SETD2,0.46522266,1.0,,NLRP3,1.2093273,0.9992640708997754,
MRPL17,0.7374216,0.9999003804629129,,EIF3M,0.99305904,0.9996937181110113,,RP5-1098D14.1,0.3482926,0.9996617578253437,,PCNX,0.58804905,0.9998338017940898,,STK10,1.3633329,0.9999189069433965,,LAS1L,0.69247895,1.0,,METTL13,0.4643669,1.0,,LIPA,1.2091027,0.9992640708997754,
MCM3,0.7371176,0.9999003804629129,,RP11-110A12.2,0.99242204,0.9996937181110113,,AK8,0.3482926,0.9996617578253437,,VPS13A,0.58748305,0.9998338017940898,,C1QB,1.3624182,0.9999189069433965,,TSSC4,0.6919622,1.0,,SLC7A6,0.46393904,1.0,,PCF11,1.208878,0.9992640708997754,
KIAA0020,0.7366616,0.9999003804629129,,SMARCD2,0.9910206,0.9996937181110113,,PARM1,0.3482926,0.9996617578253437,,TCEAL1,0.5864265,0.9998338017940898,,TMEM258,1.3618592,0.9999189069433965,,ARMC8,0.69154876,1.0,,DBN1,0.46326667,1.0,,CYB5R3,1.20753,0.9992640708997754,
CCT8,0.7363323,0.9999003804629129,,STX3,0.99086136,0.9996937181110113,,GRAMD1C,0.3482926,0.9996617578253437,,ROCK1,0.5862755,0.9998338017940898,,TMEM167A,1.3608936,0.9999189069433965,,C1GALT1C1,0.69154876,1.0,,EDF1,0.46179965,1.0,,MTMR9,1.2073053,0.9992640708997754,
TUBD1,0.73620564,0.9999003804629129,,TACC1,0.9902881,0.9996937181110113,,ARFGEF1,0.34788588,0.9996617578253437,,GTPBP4,0.58620006,0.9998338017940898,,SF3A1,1.3597757,0.9999189069433965,,FBXO44,0.691032,1.0,,PRR4,0.46100503,1.0,,EIF2AK4,1.2070806,0.9992640708997754,
PYHIN1,0.73620564,0.9999003804629129,,PSEN1,0.989237,0.9996937181110113,,ACD,0.34725732,0.9996617578253437,,OXCT1,0.58552086,0.9998338017940898,,LILRA6,1.3582003,0.9999189069433965,,POP4,0.6899468,1.0,,SLC44A2,0.4609439,1.0,,RAE1,1.2067436,0.9992640708997754,
NSMAF,0.7350403,0.9999003804629129,,MRPS15,0.98910964,0.9996937181110113,,FAM211A,0.34640694,0.9996617578253437,,ACTR6,0.5849171,0.9998338017940898,,NUB1,1.3580478,0.9999189069433965,,HYLS1,0.6898951,1.0,,LSM7,0.46082166,1.0,,RAB11B,1.2065189,0.9992640708997754,
PLCG1,0.7345336,0.9999003804629129,,FOLR2,0.9890459,0.9996937181110113,,TBCEL,0.34607416,0.9996617578253437,,DAPK3,0.5845398,0.9998338017940898,,PSTPIP2,1.3562185,0.9999189069433965,,NTPCR,0.68979174,1.0,,LDOC1,0.46057716,1.0,,PLP2,1.2049462,0.9992640708997754,
TUBA1A,0.73349494,0.9999003804629129,,JUP,0.9876445,0.9996937181110113,,ZNF273,0.34551957,0.9996617578253437,,SCAMP2,0.5842756,0.9998338017940898,,EAPP,1.3561168,0.9999189069433965,,HEXB,0.6896884,1.0,,AP5Z1,0.46033266,1.0,,TMEM259,1.2046092,0.9992640708997754,
MXI1,0.73179764,0.9999003804629129,,PUM1,0.9876445,0.9996937181110113,,TSPAN33,0.3451868,0.9996617578253437,,MTERFD1,0.5838983,0.9998338017940898,,ZFYVE21,1.3552529,0.9999189069433965,,IPO9,0.6894817,1.0,,TMEM147,0.4602104,1.0,,ENY2,1.2043844,0.9992640708997754,
MAN1C1,0.73116434,0.9999003804629129,,MYO15B,0.9869438,0.9996937181110113,,RP11-554J4.1,0.34500194,0.9996617578253437,,TOX4,0.58340776,0.9998338017940898,,CALCOCO2,1.3545923,0.9999189069433965,,EXOG,0.68886155,1.0,,ASCC2,0.46008816,1.0,,BBX,1.2040474,0.9992640708997754,
CREBRF,0.73101234,0.9999003804629129,,ARPC4,0.9840773,0.9996937181110113,,TCF3,0.34485403,0.9996617578253437,,FAM104A,0.58340776,0.9998338017940898,,SERF2,1.3539317,0.9999189069433965,,MRPL52,0.68886155,1.0,,NRCAM,0.4599659,1.0,,SMIM14,1.2032611,0.9992640708997754,
HERPUD2,0.72896034,0.9999003804629129,,LRRK2,0.982644,0.9996937181110113,,ATAD5,0.34437338,0.9996617578253437,,ERV3-1,0.5832568,0.9998338017940898,,MX1,1.3524071,0.9999189069433965,,GPS2,0.68839645,1.0,,FCGBP,0.4599659,1.0,,TMEM128,1.2031487,0.9992640708997754,
TCTN3,0.7275417,0.9999003804629129,,LY96,0.9825803,0.9996937181110113,,POLR3K,0.3443364,0.9996617578253437,,ZNF720,0.58310586,0.9998338017940898,,LRP1,1.3523563,0.9999189069433965,,RP11-103G8.2,0.68612266,1.0,,IMP4,0.45959917,1.0,,TRIM14,1.2030364,0.9992640708997754,
MFGE8,0.7270097,0.9999003804629129,,PMVK,0.9803508,0.9996937181110113,,WDR89,0.34422547,0.9996617578253437,,TBC1D1,0.5829927,0.9998338017940898,,MRPL12,1.3514924,0.9999189069433965,,PSMG1,0.686071,1.0,,SEC63,0.45959917,1.0,,NME4,1.202587,0.9992640708997754,
GANAB,0.72683233,0.9999003804629129,,DENND4B,0.97802573,0.9996937181110113,,ZCCHC18,0.3440776,0.9996617578253437,,F2R,0.58295494,0.9998338017940898,,MEF2C,1.351035,0.9999189069433965,,BRIX1,0.686071,1.0,,GATA3,0.4589268,1.0,,BCKDK,1.2023624,0.9992640708997754,
AEN,0.7259204,0.9999003804629129,,DNAJB11,0.97541404,0.9996937181110113,,GPM6B,0.3437818,0.9996617578253437,,INTS5,0.58227575,0.9998338017940898,,ALAD,1.3506285,0.9999189069433965,,SCAP,0.68581253,1.0,,HNRNPUL1,0.45880455,1.0,,TEX264,1.2021377,0.9992640708997754,
SIDT1-AS1,0.725135,0.9999003804629129,,NFKBIE,0.9742037,0.9996937181110113,,HMGXB3,0.34359694,0.9996617578253437,,LINC00657,0.58197385,0.9998338017940898,,MRPL22,1.349917,0.9999189069433965,,COX5A,0.68534744,1.0,,SPATA13,0.4584989,1.0,,B4GALT4,1.201239,0.9992640708997754,
CYHR1,0.7248057,0.9999003804629129,,GCH1,0.97378963,0.9996937181110113,,TMEM87B,0.34355995,0.9996617578253437,,MRPL55,0.58182293,0.9998338017940898,,TBC1D22A,1.3497646,0.9999189069433965,,HCLS1,0.6851407,1.0,,TUBGCP6,0.45813215,1.0,,EIF4G2,1.2011267,0.9992640708997754,
MBD1,0.72384304,0.9999003804629129,,CTBS,0.972229,0.9996937181110113,,INTS6-AS1,0.34330115,0.9996617578253437,,BRAP,0.58182293,0.9998338017940898,,AP1M1,1.3484942,0.9999189069433965,,TMED3,0.6842622,1.0,,NRIP1,0.4580099,1.0,,SNAI3,1.199891,0.9992640708997754,
DDHD2,0.72298175,0.9999003804629129,,PHLDA2,0.9721653,0.9996937181110113,,C3orf58,0.34326416,0.9996617578253437,,ZNF420,0.5811814,0.9998338017940898,,ATP6V1D,1.346868,0.9999189069433965,,NIFK,0.6839005,1.0,,ATP5A1,0.45788765,1.0,,NDEL1,1.1997786,0.9992640708997754,
LYPLAL1,0.7220191,0.9999003804629129,,PBX2,0.9704772,0.9996937181110113,,ABHD17B,0.34282047,0.9996617578253437,,NOL12,0.5797853,0.9998338017940898,,METTL21A,1.3468171,0.9999189069433965,,TBRG4,0.68328035,1.0,,TMEM141,0.45739865,1.0,,COPZ1,1.199217,0.9992640708997754,
CYP20A1,0.72191775,0.9999003804629129,,ITGAE,0.96719664,0.9996937181110113,,ATXN1L,0.34270954,0.9996617578253437,,PINX1,0.57940793,0.9998338017940898,,SERPINB9,1.3463598,0.9999189069433965,,RAB9A,0.68307364,1.0,,ZNF420,0.45739865,1.0,,MID1IP1,1.1989923,0.9992640708997754,
CCR10,0.7216644,0.9999003804629129,,UBXN1,0.96700555,0.9996937181110113,,UBE2Z,0.34245074,0.9996617578253437,,TRAM1,0.5789551,0.9998338017940898,,APOBEC3G,1.3459533,0.9999189069433965,,TP53RK,0.6829703,1.0,,PPOX,0.4570319,1.0,,CARHSP1,1.1987675,0.9992640708997754,
DNTTIP2,0.72004306,0.9999003804629129,,CHMP5,0.96455306,0.9996937181110113,,CASC4,0.34241375,0.9996617578253437,,GPX7,0.5786155,0.9998338017940898,,DNAJC4,1.3419895,0.9999189069433965,,POMC,0.68286693,1.0,,RNF113A,0.4560539,1.0,,PGM2,1.1983182,0.9992640708997754,
PGAP1,0.71994174,0.9999003804629129,,RP11-22N19.2,0.9637568,0.9996937181110113,,ENDOD1,0.3422289,0.9996617578253437,,LMF1,0.57846457,0.9998338017940898,,CASP7,1.3409731,0.9999189069433965,,IFI27L1,0.68214345,1.0,,NDUFB1,0.45470914,1.0,,AKR1B1,1.1982058,0.9992640708997754,
ZNF91,0.7196631,0.9999003804629129,,MTPN,0.9633109,0.9996937181110113,,HIST1H1E,0.342081,0.9996617578253437,,THEM4,0.57842684,0.9998338017940898,,HAVCR2,1.3400584,0.9999189069433965,,C17orf59,0.6813166,1.0,,RTFDC1,0.45464802,1.0,,ALDH3B1,1.1965208,0.9992640708997754,
EDEM1,0.71880174,0.9999003804629129,,BCL3,0.96324724,0.9996937181110113,,ZC3H4,0.3419701,0.9996617578253437,,HDGFRP2,0.5783514,0.9998338017940898,,KLHDC3,1.3388388,0.9999189069433965,,HDAC10,0.6809032,1.0,,MBNL1-AS1,0.4543424,1.0,,HRH2,1.1958468,0.9992640708997754,
CCNH,0.7187004,0.9999003804629129,,HPS1,0.962451,0.9996937181110113,,KIFAP3,0.34189615,0.9996617578253437,,PURA,0.57812494,0.9998338017940898,,GLB1,1.3387372,0.9999189069433965,,DUSP23,0.6797663,1.0,,THOC1,0.45354778,1.0,,UNC119,1.1956221,0.9992640708997754,
C4orf32,0.71857375,0.9999003804629129,,TBC1D2,0.9612088,0.9996937181110113,,DDHD2,0.34178522,0.9996617578253437,,C16orf95,0.57812494,0.9998338017940898,,AP3S1,1.3381274,0.9999189069433965,,RING1,0.6786811,1.0,,GART,0.45299765,1.0,,QDPR,1.1953974,0.9992640708997754,
GBP1,0.7185231,0.9999003804629129,,DERA,0.9606355,0.9996937181110113,,VHL,0.3412306,0.9996617578253437,,CSNK2A1,0.5773703,0.9998338017940898,,TMED1,1.3377209,0.9999189069433965,,ZFAND3,0.6779059,1.0,,RP11-421L21.3,0.4526309,1.0,,COX6C,1.1949481,0.9992640708997754,
NARS,0.7183711,0.9999003804629129,,DDX49,0.9598711,0.9996937181110113,,RMDN2,0.34115666,0.9996617578253437,,UBXN2A,0.5769552,0.9998338017940898,,OASL,1.337111,0.9999189069433965,,UCKL1,0.6772858,1.0,,CLEC11A,0.45201966,1.0,,DPP9,1.1949481,0.9992640708997754,
AP5M1,0.7183204,0.9999003804629129,,ARF1,0.9574186,0.9996937181110113,,TMEM109,0.34111968,0.9996617578253437,,PPM1B,0.576842,0.9998338017940898,,TMEM167B,1.336552,0.9999189069433965,,NME4,0.676769,1.0,,WDR60,0.4518974,1.0,,SERTAD3,1.1944987,0.9992640708997754,
C2orf69,0.7182191,0.9999003804629129,,FAM89B,0.9567179,0.9996937181110113,,GLCCI1,0.34108272,0.9996617578253437,,MKI67,0.5766156,0.9998338017940898,,EXOSC4,1.335739,0.9999189069433965,,PLSCR1,0.67666566,1.0,,MRPS31,0.45012477,1.0,,FCGR2B,1.194274,0.9992640708997754,
PAQR8,0.7174084,0.9999003804629129,,MRPL40,0.95598537,0.9996937181110113,,ANKRA2,0.34104574,0.9996617578253437,,HPS6,0.5765024,0.9998338017940898,,HAUS1,1.3349767,0.9999189069433965,,SCCPDH,0.67620057,1.0,,ADSS,0.4499414,1.0,,ACOT2,1.1940494,0.9992640708997754,
DOCK9,0.7170791,0.9999003804629129,,PCTP,0.95528466,0.9996937181110113,,RABL5,0.3408239,0.9996617578253437,,MRPL19,0.5762383,0.9998338017940898,,HEG1,1.3325883,0.9999189069433965,,SKIV2L,0.67583877,1.0,,RBM22,0.4484744,1.0,,PIK3C3,1.1935999,0.9992640708997754,
